1934	63
2852	-55	-18
1413	-64	-62
2544	-57	-16
9997	-9	-3
20744	60	49
9600	-12	65
23261	77	-69
9601	-12	66
9909	-10	64
10529	-6	64
15517	27	-63
2389	-58	-16
22327	71	-73
18872	48	37
20124	56	49
10845	-4	70
8983	-16	68
15979	30	-66
10469	-6	4
9392	-13	12
15207	25	-63
12003	4	-12
20277	57	47
2079	-60	-16
16444	33	-66
11797	2	92
2538	-57	-22
487	-70	-58
11340	-1	100
1766	-62	-19
13410	13	0
23563	79	-77
12320	6	-5
11240	-1	0
2697	-56	-18
10321	-7	11
18245	44	30
949	-67	-61
9998	-9	-2
18405	45	35
9838	-10	-7
3007	-54	-18
16134	31	-66
11708	2	3
18867	48	32
11543	1	-7
1720	-62	-65
17319	38	34
2545	-57	-15
11395	0	0
9913	-10	68
23101	76	-74
12329	6	4
9911	-10	66
12111	4	96
1568	-63	-62
18407	45	37
17943	42	38
3156	-53	-24
11696	2	-9
1569	-63	-61
22324	71	-76
12578	7	98
12630	8	-5
17473	39	33
15668	28	-67
327	-71	-63
11488	0	93
22014	69	-76
19965	55	45
3467	-51	-23
9547	-12	12
2073	-60	-22
22480	72	-75
16597	34	-68
19659	53	49
12110	4	95
792	-68	-63
330	-71	-60
12116	4	101
10475	-6	10
2700	-56	-15
11798	2	93
10688	-5	68
19966	55	46
23412	78	-73
10221	-8	66
3317	-52	-18
12011	4	-4
12267	5	97
1877	-61	-63
10372	-7	62
10533	-6	68
11341	-1	101
15980	30	-65
1411	-64	-64
2188	-59	-62
11705	2	0
15665	28	-70
12175	5	5
9290	-14	65
3471	-51	-19
12158	5	-12
23260	77	-70
19352	51	52
10684	-5	64
11337	-1	97
10844	-4	69
11549	1	-1
11953	3	93
19193	50	48
11649	1	99
9837	-10	-8
1262	-65	-58
11954	3	94
18560	46	35
11025	-3	95
18257	44	42
1416	-64	-59
2846	-55	-24
12184	5	14
20590	59	50
12270	5	100
331	-71	-59
2539	-57	-21
3165	-53	-15
18408	45	38
2390	-58	-15
15049	24	-66
13408	13	-2
11026	-3	96
12264	5	94
11236	-1	-4
1570	-63	-60
3006	-54	-19
12575	7	95
18558	46	33
17474	39	34
947	-67	-63
11179	-2	94
11844	3	-16
8826	-17	66
15513	27	-67
11495	0	100
9916	-10	71
9604	-12	69
12268	5	98
23562	79	-78
23253	77	-77
11086	-2	1
9297	-14	72
18561	46	36
14890	23	-70
21861	68	-74
1099	-66	-66
20434	58	49
9762	-11	72
20280	57	50
1725	-62	-60
9599	-12	64
20747	60	52
23565	79	-75
11690	2	-15
11956	3	96
20275	57	45
11386	0	-9
17781	41	31
1108	-66	-57
1763	-62	-22
3160	-53	-20
22634	73	-76
9687	-11	-3
10780	-4	5
20894	61	44
794	-68	-61
10929	-3	-1
17938	42	33
11799	2	94
3469	-51	-21
11535	1	-15
1259	-65	-61
9917	-10	72
12319	6	-6
15203	25	-67
1574	-63	-56
15819	29	-71
17941	42	36
20122	56	47
9447	-13	67
17481	39	41
10226	-8	71
16440	33	-70
15045	24	-70
18412	45	42
10168	-8	13
644	-69	-56
2851	-55	-19
2384	-58	-21
11333	-1	93
17936	42	31
2847	-55	-23
15044	24	-71
15669	28	-66
12733	8	98
1260	-65	-60
10380	-7	70
10008	-9	8
15670	28	-65
23410	78	-75
18411	45	41
11540	1	-10
9446	-13	66
12475	7	-5
638	-69	-62
18567	46	42
17939	42	34
23723	80	-72
3003	-54	-22
16439	33	-71
15823	29	-67
18871	48	36
1727	-62	-58
17940	42	35
10690	-5	70
9444	-13	64
18873	48	38
951	-67	-59
14891	23	-69
12339	6	14
3004	-54	-21
18402	45	32
19508	52	53
326	-71	-64
11804	2	99
9141	-15	71
12573	7	93
11078	-2	-7
18255	44	40
1918	-61	-22
1414	-64	-61
9907	-10	62
9603	-12	68
19658	53	48
20739	60	44
12425	6	100
8982	-16	67
9761	-11	71
15204	25	-66
23102	76	-73
9443	-13	63
12112	4	97
12113	4	98
171	-72	-64
1916	-61	-24
18098	43	38
11485	0	90
10473	-6	8
11334	-1	94
11544	1	-6
10686	-5	66
22631	73	-79
3313	-52	-22
10464	-6	-1
639	-69	-61
22167	70	-78
11552	1	2
22171	70	-74
23567	79	-73
12572	7	92
12018	4	3
11803	2	98
19348	51	48
1610	-63	-20
20745	60	50
11335	-1	95
11854	3	-6
18249	44	34
9293	-14	68
8827	-17	67
2698	-56	-17
12576	7	96
11707	2	2
11330	-1	90
11180	-2	95
11698	2	-7
23258	77	-72
796	-68	-59
19964	55	44
20897	61	47
16283	32	-72
22328	71	-72
17472	39	32
14893	23	-67
19345	51	45
10162	-8	7
10152	-8	-3
1457	-64	-18
2226	-59	-24
12020	4	5
2187	-59	-63
15197	25	-73
18712	47	32
11491	0	96
12634	8	-1
10534	-6	69
17631	40	36
2072	-60	-23
12476	7	-4
14581	21	-69
21057	62	52
9682	-11	-8
11493	0	98
18100	43	40
18559	46	34
12495	7	15
1875	-61	-65
20583	59	43
20592	59	52
16289	32	-66
12884	9	94
2693	-56	-22
22948	75	-72
483	-70	-62
22170	70	-75
14582	21	-68
10154	-8	-1
1564	-63	-66
23406	78	-79
19023	49	33
22639	73	-71
2699	-56	-16
11958	3	98
1724	-62	-61
10322	-7	12
13720	15	0
22789	74	-76
11951	3	91
18400	45	30
9139	-15	69
23252	77	-78
1455	-64	-20
22483	72	-72
18410	45	40
8598	-18	-7
23719	80	-76
19969	55	49
16599	34	-66
3318	-52	-17
12021	4	6
3002	-54	-23
15671	28	-64
485	-70	-60
20746	60	51
9598	-12	63
16285	32	-70
12266	5	96
10316	-7	6
1100	-66	-65
1103	-66	-62
23415	78	-70
10872	-4	97
2192	-59	-58
11490	0	95
23104	76	-71
328	-71	-62
21208	63	48
9136	-15	66
19655	53	45
1764	-62	-21
1107	-66	-58
19660	53	50
3311	-52	-24
9448	-13	68
22944	75	-76
17323	38	38
18404	45	34
8828	-17	68
1920	-61	-20
10005	-9	5
22015	69	-75
12482	7	2
10069	-9	69
19662	53	52
16128	31	-72
23105	76	-70
23722	80	-73
2070	-60	-25
23569	79	-71
9442	-13	62
11489	0	94
11183	-2	98
22945	75	-75
11338	-1	98
15666	28	-69
11231	-1	-9
18564	46	39
20126	56	51
21707	67	-73
22174	70	-71
20742	60	47
10536	-6	71
22018	69	-72
21055	62	50
23259	77	-71
20900	61	50
19657	53	47
329	-71	-61
1106	-66	-59
12730	8	95
22787	74	-78
15663	28	-72
18721	47	41
3163	-53	-17
21207	63	47
19037	49	47
19504	52	49
12422	6	97
14584	21	-66
1723	-62	-62
16132	31	-68
12418	6	93
11647	1	97
11689	2	-16
640	-69	-60
10870	-4	95
22790	74	-75
10716	-5	96
3315	-52	-20
3005	-54	-20
12731	8	96
15051	24	-64
16129	31	-71
19026	49	36
793	-68	-62
2696	-56	-19
10377	-7	67
10842	-4	67
12636	8	1
15509	27	-71
19967	55	47
12728	8	93
11028	-3	98
18717	47	37
10715	-5	95
22323	71	-77
9914	-10	69
2234	-59	-16
1924	-61	-16
21053	62	48
20121	56	46
10165	-8	10
9528	-12	-7
798	-68	-57
2542	-57	-18
12417	6	92
17629	40	34
15518	27	-62
9291	-14	66
20901	61	51
10064	-9	64
11487	0	92
18403	45	33
16446	33	-64
8288	-20	-7
20588	59	48
11847	3	-13
10068	-9	68
19349	51	49
19179	50	34
11550	1	0
2071	-60	-24
174	-72	-61
15361	26	-64
18248	44	33
14585	21	-65
488	-70	-57
10868	-4	93
1919	-61	-21
15046	24	-69
17167	37	37
10381	-7	71
17788	41	38
2077	-60	-18
3164	-53	-16
20587	59	47
22016	69	-74
12310	6	-15
9138	-15	68
9910	-10	65
11950	3	90
10531	-6	66
10376	-7	66
14892	23	-68
9686	-11	-4
17790	41	40
20437	58	52
17791	41	41
22325	71	-75
2387	-58	-18
12166	5	-4
1102	-66	-63
16290	32	-65
11709	2	4
22478	72	-77
22633	73	-77
21051	62	46
175	-72	-60
2189	-59	-61
1573	-63	-57
20430	58	45
18556	46	31
20282	57	52
795	-68	-60
22950	75	-70
9294	-14	69
11496	0	101
22788	74	-77
1721	-62	-64
17942	42	37
11643	1	93
18715	47	35
15510	27	-70
17789	41	39
22797	74	-68
22020	69	-70
15975	30	-70
20431	58	46
10317	-7	7
2691	-56	-24
19029	49	39
22168	70	-77
22321	71	-79
15826	29	-64
18557	46	32
11238	-1	-2
19196	50	51
19195	50	50
635	-69	-65
20899	61	49
11845	3	-15
16442	33	-68
1921	-61	-19
11693	2	-12
9602	-12	67
19506	52	51
3009	-54	-16
10061	-9	61
19816	54	51
22172	70	-73
10159	-8	4
10379	-7	69
17320	38	35
11177	-2	92
11795	2	90
2386	-58	-19
2075	-60	-20
1765	-62	-20
9605	-12	70
12481	7	1
1917	-61	-23
21706	67	-74
12186	5	16
9288	-14	63
2227	-59	-23
15820	29	-70
22482	72	-73
12571	7	91
22479	72	-76
2186	-59	-64
8980	-16	65
8289	-20	-6
15198	25	-72
636	-69	-64
12115	4	100
12114	4	99
14739	22	-66
17634	40	39
19337	51	37
3157	-53	-23
641	-69	-59
11851	3	-9
15672	28	-63
952	-67	-58
1571	-63	-59
16136	31	-64
1879	-61	-61
1719	-62	-66
19663	53	53
18	-73	-62
8981	-16	66
22947	75	-73
15514	27	-66
20436	58	51
19346	51	46
20273	57	43
11640	1	90
22485	72	-70
10470	-6	5
17476	39	36
9597	-12	62
634	-69	-66
19970	55	50
10685	-5	65
10532	-6	67
10535	-6	70
11862	3	2
15047	24	-68
9841	-10	-4
9449	-13	69
23718	80	-77
12262	5	92
3001	-54	-24
3008	-54	-17
2690	-56	-25
14737	22	-68
9606	-12	71
10378	-7	68
19811	54	46
1874	-61	-66
3472	-51	-18
20586	59	46
12022	4	7
20749	60	54
17165	37	35
12790	9	0
20896	61	46
12105	4	90
17322	38	37
15206	25	-64
19025	49	35
21704	67	-76
11185	-2	100
19972	55	52
2388	-58	-17
23566	79	-74
21859	68	-76
15515	27	-65
15973	30	-72
19192	50	47
16596	34	-69
19181	50	36
9759	-11	69
11175	-2	90
2030	-60	-65
19664	53	54
14583	21	-67
19973	55	53
23568	79	-72
22943	75	-77
22173	70	-72
1261	-65	-59
10062	-9	62
15976	30	-69
2380	-58	-25
3474	-51	-16
20585	59	45
15043	24	-72
944	-67	-66
19336	51	36
17630	40	35
2845	-55	-25
481	-70	-64
15817	29	-73
10218	-8	63
17632	40	37
12167	5	-3
10220	-8	65
9530	-12	-5
12106	4	91
1762	-62	-23
11694	2	-11
22484	72	-71
637	-69	-63
12108	4	93
10689	-5	69
2035	-60	-60
9295	-14	70
23257	77	-73
18719	47	39
20129	56	54
17475	39	35
12010	4	-5
23724	80	-71
2382	-58	-23
12419	6	94
11492	0	97
19971	55	51
17946	42	41
15355	26	-70
19661	53	51
12341	6	16
12494	7	14
20741	60	46
1878	-61	-62
23099	76	-76
19030	49	40
791	-68	-64
22322	71	-78
23874	81	-76
1415	-64	-60
22169	70	-76
3011	-54	-14
16443	33	-67
23414	78	-71
10871	-4	96
10065	-9	65
15824	29	-66
21211	63	51
480	-70	-65
10219	-8	64
22632	73	-78
20740	60	45
16291	32	-64
3161	-53	-19
9607	-12	72
3158	-53	-22
2230	-59	-20
11641	1	91
15818	29	-72
10374	-7	64
643	-69	-57
10227	-8	72
1256	-65	-64
23254	77	-76
19813	54	48
21862	68	-73
15972	30	-73
11646	1	96
18562	46	37
14741	22	-64
8984	-16	69
12107	4	92
11846	3	-14
11023	-3	93
2853	-55	-17
9839	-10	-6
14897	23	-63
176	-72	-59
21210	63	50
15362	26	-63
18868	48	33
10867	-4	92
2037	-60	-58
16133	31	-67
15511	27	-69
11861	3	1
10225	-8	70
1883	-61	-57
12269	5	99
15199	25	-71
19814	54	49
9915	-10	70
10070	-9	70
19974	55	54
20281	57	51
17784	41	34
12261	5	91
17318	38	33
15825	29	-65
2848	-55	-22
20274	57	44
1611	-63	-19
22331	71	-69
1607	-63	-23
18869	48	34
10071	-9	71
12732	8	97
22793	74	-72
12416	6	91
3316	-52	-19
3010	-54	-15
15508	27	-72
3627	-50	-18
20898	61	48
16595	34	-70
19039	49	49
15978	30	-67
14736	22	-69
16137	31	-63
3159	-53	-21
482	-70	-63
479	-70	-66
23564	79	-76
20594	59	54
2536	-57	-24
18409	45	39
16131	31	-69
20119	56	44
14580	21	-70
9134	-15	64
21056	62	51
15050	24	-65
2383	-58	-22
10841	-4	66
2080	-60	-15
15042	24	-73
11806	2	101
23409	78	-76
13721	15	1
19351	51	51
2692	-56	-23
23873	81	-77
21054	62	49
10998	-3	68
11537	1	-13
17477	39	37
9753	-11	63
325	-71	-65
9760	-11	70
1612	-63	-18
19502	52	47
20283	57	53
23255	77	-75
1563	-63	-67
14889	23	-71
20895	61	45
20439	58	54
16441	33	-69
22330	71	-70
19501	52	46
12265	5	95
17635	40	40
18870	48	35
10307	-7	-3
22796	74	-69
2034	-60	-61
19819	54	54
20593	59	53
19809	54	44
19024	49	34
15358	26	-67
11650	1	100
12628	8	-7
3625	-50	-20
18101	43	41
18716	47	36
11998	4	-17
17627	40	32
2225	-59	-25
20118	56	43
14738	22	-67
14896	23	-64
14734	22	-71
1105	-66	-60
11399	0	4
23408	78	-77
17945	42	40
18874	48	39
19654	53	44
15516	27	-64
10623	-5	3
11710	2	5
1880	-61	-60
15354	26	-71
19499	52	44
1608	-63	-22
16598	34	-67
1565	-63	-65
21050	62	45
20903	61	53
11642	1	92
799	-68	-56
10382	-7	72
18720	47	40
19028	49	38
23103	76	-72
19963	55	43
10375	-7	65
3473	-51	-17
21863	68	-72
21052	62	47
332	-71	-58
11794	2	89
11029	-3	99
19180	50	35
18714	47	34
15673	28	-62
1257	-65	-63
9527	-12	-8
11960	3	100
10072	-9	72
10167	-8	12
23875	81	-75
9292	-14	67
19027	49	37
16287	32	-68
18247	44	32
11021	-3	91
2191	-59	-59
14888	23	-72
23407	78	-78
1410	-64	-65
12885	9	95
15982	30	-63
19500	52	45
10479	-6	14
20120	56	45
3312	-52	-23
15048	24	-67
16286	32	-69
1101	-66	-64
15352	26	-73
945	-67	-65
10620	-5	0
18876	48	41
19194	50	49
2689	-56	-26
18099	43	39
2855	-55	-15
11176	-2	91
3000	-54	-25
12104	4	89
1418	-64	-57
23413	78	-72
11081	-2	-4
19507	52	52
17480	39	40
18091	43	31
16600	34	-65
18092	43	32
17324	38	39
1098	-66	-67
2233	-59	-17
642	-69	-58
21860	68	-75
23251	77	-79
22012	69	-78
19347	51	47
1882	-61	-58
12325	6	0
15974	30	-71
10530	-6	65
14894	23	-66
11022	-3	92
9751	-11	61
10997	-3	67
11695	2	-10
17166	37	36
2535	-57	-25
12727	8	92
23561	79	-79
23876	81	-74
9684	-11	-6
10843	-4	68
19505	52	50
9452	-13	72
19184	50	39
23721	80	-74
10476	-6	11
9451	-13	71
2381	-58	-24
22941	75	-79
2537	-57	-23
19183	50	38
10687	-5	67
19335	51	35
11651	1	101
10683	-5	63
18566	46	41
1728	-62	-57
15353	26	-72
10309	-7	-1
1264	-65	-56
15827	29	-63
1923	-61	-17
10778	-4	3
17783	41	33
19808	54	43
18722	47	42
23411	78	-74
12424	6	99
16284	32	-71
333	-71	-57
790	-68	-65
11494	0	99
22940	75	-80
11024	-3	94
1567	-63	-63
18256	44	41
19503	52	48
9393	-13	13
1609	-63	-21
15664	28	-71
22942	75	-78
22477	72	-78
9445	-13	65
17478	39	38
11852	3	-8
11999	4	-16
1767	-62	-18
11184	-2	99
11702	2	-3
19818	54	53
14740	22	-65
9763	-11	73
3468	-51	-22
10006	-9	6
1925	-61	-15
486	-70	-59
2546	-57	-14
10717	-5	97
17168	37	38
11805	2	100
12019	4	4
3314	-52	-21
1566	-63	-64
8985	-16	70
1409	-64	-66
19197	50	52
22475	72	-80
18711	47	31
11393	0	-2
3623	-50	-22
788	-68	-67
9140	-15	70
9132	-15	62
15983	30	-62
18718	47	38
9133	-15	63
16292	32	-63
22329	71	-71
9287	-14	62
17164	37	34
12579	7	99
19038	49	48
9375	-13	-5
18090	43	30
954	-67	-56
23717	80	-78
1408	-64	-67
3626	-50	-19
11484	0	89
10869	-4	94
23098	76	-77
20428	58	43
9450	-13	70
19191	50	46
20743	60	48
9135	-15	65
17479	39	39
2038	-60	-57
2701	-56	-14
17786	41	36
19040	49	50
11027	-3	97
19810	54	45
9546	-12	11
10217	-8	62
1876	-61	-64
11332	-1	92
2379	-58	-26
15662	28	-73
2190	-59	-60
10314	-7	4
22017	69	-73
3320	-52	-15
2078	-60	-17
23878	81	-72
15661	28	-74
14428	20	-67
12729	8	94
22785	74	-80
20584	59	44
11394	0	-1
22176	70	-69
10840	-4	65
1769	-62	-16
10996	-3	66
23725	80	-70
17636	40	41
18102	43	42
9918	-10	73
2235	-59	-15
23095	76	-80
1729	-62	-56
1253	-65	-67
22640	73	-70
18875	48	40
23720	80	-75
16127	31	-73
17947	42	42
2856	-55	-14
18555	46	30
22486	72	-69
12173	5	3
172	-72	-63
19	-73	-61
16752	35	-68
2844	-55	-26
8825	-17	65
11949	3	89
3162	-53	-18
18866	48	31
177	-72	-58
9596	-12	61
10527	-6	62
21864	68	-71
3628	-50	-17
12260	5	90
23250	77	-80
789	-68	-66
11961	3	101
10166	-8	11
1761	-62	-24
12886	9	96
11857	3	-3
15828	29	-62
19344	51	44
12423	6	98
8986	-16	71
14733	22	-72
10934	-3	4
12415	6	90
11796	2	91
11397	0	2
19509	52	54
15363	26	-62
9453	-13	73
11234	-1	-6
12789	9	-1
11076	-2	-9
9999	-9	-1
12159	5	-11
11863	3	3
11396	0	1
12496	7	16
13718	15	-2
12785	9	-5
15612	27	32
7826	-23	-4
12153	5	-17
13230	12	-25
15611	27	31
7517	-25	-3
6149	-34	24
10651	-5	31
10335	-7	25
12462	7	-18
12617	8	-18
10181	-8	26
9984	-9	-16
9365	-13	-15
8003	-22	18
10494	-6	29
12461	7	-19
15302	25	32
7848	-23	18
10650	-5	30
9865	-10	20
12766	9	-24
10035	-9	35
10652	-5	32
12769	9	-21
12615	8	-20
10186	-8	31
6150	-34	25
9870	-10	25
15768	28	33
6459	-32	24
5993	-35	23
9879	-10	34
9519	-12	-16
9209	-14	-16
7827	-23	-3
12463	7	-17
12921	10	-24
6148	-34	23
11361	0	-34
11827	3	-33
12773	9	-17
9871	-10	26
10332	-7	22
11983	4	-32
10176	-8	21
9568	-12	33
13385	13	-25
13075	11	-25
7849	-23	19
7696	-24	21
9362	-13	-18
10180	-8	25
13076	11	-24
10806	-4	31
10026	-9	26
10175	-8	20
12138	5	-32
8160	-21	20
12772	9	-18
10496	-6	31
12618	8	-17
12770	9	-20
7982	-22	-3
10022	-9	22
11671	2	-34
8005	-22	20
10342	-7	32
10189	-8	34
9716	-11	26
5994	-35	24
9518	-12	-17
9827	-10	-18
12920	10	-25
9520	-12	-15
12610	8	-25
6304	-33	24
9725	-11	35
11672	2	-33
12616	8	-19
13074	11	-26
8006	-22	21
9676	-11	-14
10188	-8	33
9830	-10	-15
15458	26	33
11207	-1	-33
12764	9	-26
10025	-9	25
9831	-10	-14
9208	-14	-17
9829	-10	-16
11828	3	-32
5684	-37	24
12919	10	-26
10021	-9	21
7828	-23	-2
9675	-11	-15
10340	-7	30
10020	-9	20
9570	-12	35
6306	-33	26
13229	12	-26
10485	-6	20
12927	10	-18
11517	1	-33
9869	-10	24
9414	-13	34
10034	-9	34
9867	-10	22
6460	-32	25
5840	-36	25
9672	-11	-18
7672	-24	-3
10808	-4	33
7539	-25	19
9880	-10	35
10336	-7	26
7670	-24	-5
8004	-22	19
9724	-11	34
5841	-36	26
10649	-5	29
11981	4	-34
9828	-10	-17
12611	8	-24
5839	-36	24
10036	-9	36
10019	-9	19
12306	6	-19
13387	13	-23
9715	-11	25
7516	-25	-4
12619	8	-16
12136	5	-34
8136	-21	-4
10187	-8	32
9674	-11	-16
5838	-36	23
12309	6	-16
7695	-24	20
7518	-25	-2
6303	-33	23
15767	28	32
9866	-10	21
11673	2	-32
15769	28	34
15613	27	33
7825	-23	-5
12458	7	-22
15457	26	32
9569	-12	34
13077	11	-23
13232	12	-23
9878	-10	33
13386	13	-24
8135	-21	-5
12774	9	-16
10495	-6	30
6151	-34	26
12460	7	-20
12926	10	-19
7981	-22	-4
10018	-9	18
15304	25	34
12929	10	-16
9673	-11	-17
15455	26	30
9711	-11	21
10803	-4	28
7673	-24	-2
9864	-10	19
10337	-7	27
12765	9	-25
9710	-11	20
12152	5	-18
7847	-23	17
12465	7	-15
12928	10	-17
10330	-7	20
7540	-25	20
11516	1	-34
7693	-24	18
8159	-21	19
13231	12	-24
11670	2	-35
10486	-6	21
9881	-10	36
12308	6	-17
11826	3	-34
11825	3	-35
10331	-7	21
7538	-25	18
10339	-7	29
10497	-6	32
11363	0	-32
7694	-24	19
10960	-3	30
15303	25	33
13539	14	-26
12771	9	-19
12304	6	-21
9726	-11	36
10807	-4	32
9723	-11	33
12620	8	-15
12924	10	-21
12614	8	-21
11518	1	-32
7669	-24	-6
10962	-3	32
7385	-26	20
9210	-14	-15
9863	-10	18
15921	29	31
9571	-12	36
11206	-1	-34
10805	-4	30
10033	-9	33
5995	-35	25
11829	3	-31
9364	-13	-16
12464	7	-16
5685	-37	25
15765	28	30
7671	-24	-4
12154	5	-16
10328	-7	18
10179	-8	24
9872	-10	27
7850	-23	20
7979	-22	-6
15301	25	31
12613	8	-22
10489	-6	24
9985	-9	-15
15147	24	32
11519	1	-31
13228	12	-27
10185	-8	30
10341	-7	31
11982	4	-33
13081	11	-19
10346	-7	36
10804	-4	29
8137	-21	-3
9363	-13	-17
7384	-26	19
15456	26	31
15766	28	31
10177	-8	22
9709	-11	19
10343	-7	33
11362	0	-33
9521	-12	-14
12307	6	-18
9211	-14	-14
10959	-3	29
10174	-8	19
10027	-9	27
13073	11	-27
13080	11	-20
13540	14	-25
12767	9	-23
15610	27	30
8158	-21	18
6305	-33	25
5996	-35	26
6461	-32	26
15922	29	32
9677	-11	-13
8314	-20	19
9722	-11	32
10182	-8	27
9877	-10	32
15148	24	33
9517	-12	-18
10329	-7	19
5683	-37	23
12459	7	-21
15923	29	33
11515	1	-35
11674	2	-31
16077	30	32
9717	-11	27
12149	5	-21
7541	-25	21
12923	10	-22
6147	-34	22
8138	-21	-2
10334	-7	24
10190	-8	35
7980	-22	-5
13384	13	-26
12922	10	-23
12918	10	-27
12775	9	-15
6302	-33	22
11115	-2	30
10173	-8	18
7851	-23	21
15614	27	34
10032	-9	32
12305	6	-20
5992	-35	22
10024	-9	24
9366	-13	-14
10023	-9	23
9714	-11	24
8161	-21	21
7362	-26	-3
7692	-24	17
7829	-23	-1
13541	14	-24
10028	-9	28
7361	-26	-4
12768	9	-22
