1714	63
18562	46	37
16285	32	-70
11711	2	6
15356	26	-69
10533	-6	68
12479	7	-1
15352	26	-73
19347	51	47
12157	5	-13
2541	-57	-19
23569	79	-71
19499	52	44
18873	48	38
12174	5	4
15670	28	-65
11706	2	1
20434	58	49
18561	46	36
329	-71	-61
22020	69	-70
18720	47	40
2853	-55	-17
1099	-66	-66
12475	7	-5
1259	-65	-61
10774	-4	-1
10464	-6	-1
19812	54	47
11644	1	94
9682	-11	-8
12267	5	97
9838	-10	-7
11179	-2	94
9912	-10	67
12575	7	95
21051	62	46
11843	3	-17
11641	1	91
13566	14	1
2232	-59	-18
17784	41	34
11554	1	4
327	-71	-63
10169	-8	14
15974	30	-71
8289	-20	-6
12113	4	98
1102	-66	-63
9842	-10	-3
2234	-59	-16
1414	-64	-61
2540	-57	-20
1409	-64	-66
12341	6	16
18099	43	39
10005	-9	5
21861	68	-74
17783	41	33
11238	-1	-2
15666	28	-69
10463	-6	-2
1764	-62	-21
10165	-8	10
9907	-10	62
9756	-11	66
12340	6	15
12418	6	93
11542	1	-8
19815	54	50
12481	7	1
20587	59	47
12630	8	-5
11184	-2	99
10867	-4	92
12322	6	-3
15511	27	-69
3005	-54	-20
1568	-63	-62
11551	1	1
10691	-5	71
22481	72	-74
10168	-8	13
18406	45	36
15049	24	-66
9686	-11	-4
12477	7	-3
1261	-65	-59
1572	-63	-58
23099	76	-76
11182	-2	97
2542	-57	-18
11082	-2	-3
15507	27	-73
8825	-17	65
1419	-64	-56
2697	-56	-18
9683	-11	-7
18556	46	31
12311	6	-14
9911	-10	66
9758	-11	68
12790	9	0
9599	-12	64
22166	70	-79
11331	-1	91
12476	7	-4
12417	6	92
10778	-4	3
11647	1	97
2233	-59	-17
15518	27	-62
11851	3	-9
20128	56	53
17938	42	33
21055	62	50
11707	2	2
11801	2	96
20901	61	51
11552	1	2
20430	58	45
3161	-53	-19
12016	4	1
16130	31	-70
18871	48	36
18564	46	39
10462	-6	-3
2852	-55	-18
2387	-58	-18
16598	34	-67
17782	41	32
23407	78	-78
22637	73	-73
18253	44	38
9843	-10	-2
15667	28	-68
9296	-14	71
21207	63	47
10070	-9	70
10307	-7	-3
11954	3	94
22795	74	-70
23412	78	-73
18867	48	32
8982	-16	67
10065	-9	65
11705	2	0
16441	33	-69
21210	63	50
17939	42	34
22328	71	-72
1918	-61	-22
19972	55	52
12319	6	-6
8983	-16	68
10532	-6	67
15821	29	-69
19191	50	46
794	-68	-61
14892	23	-68
11952	3	92
11181	-2	96
9605	-12	70
22635	73	-75
9448	-13	68
20433	58	48
19655	53	45
1720	-62	-65
20123	56	48
12155	5	-15
9688	-11	-2
2691	-56	-24
12184	5	14
2071	-60	-24
2545	-57	-15
11236	-1	-4
1255	-65	-65
10217	-8	62
11389	0	-6
15363	26	-62
17632	40	37
12004	4	-11
19505	52	50
22941	75	-79
19192	50	47
9393	-13	13
10067	-9	67
9754	-11	64
2690	-56	-25
14739	22	-66
17629	40	34
2694	-56	-21
2230	-59	-20
15509	27	-71
11549	1	-1
11643	1	93
13720	15	0
9760	-11	70
15981	30	-64
9603	-12	68
9598	-12	63
20120	56	45
20275	57	45
11855	3	-5
1921	-61	-19
12108	4	93
11535	1	-15
9916	-10	71
19181	50	36
641	-69	-59
20590	59	50
8598	-18	-7
10714	-5	94
20591	59	51
1920	-61	-20
2846	-55	-24
22016	69	-74
15516	27	-64
2539	-57	-21
22949	75	-71
10324	-7	14
23100	76	-75
19819	54	54
10220	-8	65
2382	-58	-23
2187	-59	-63
12578	7	98
1611	-63	-19
23098	76	-77
16284	32	-71
2074	-60	-21
2077	-60	-18
2075	-60	-20
15517	27	-63
12105	4	90
17942	42	37
9841	-10	-4
15357	26	-68
1100	-66	-65
9913	-10	68
16283	32	-72
23415	78	-70
22167	70	-78
1723	-62	-62
22790	74	-75
17937	42	32
15823	29	-67
16438	33	-72
1105	-66	-60
1417	-64	-58
3164	-53	-16
10006	-9	6
18560	46	35
11240	-1	0
11794	2	89
9139	-15	69
9604	-12	69
18411	45	41
22789	74	-76
11339	-1	99
11386	0	-9
11805	2	100
19968	55	48
12262	5	92
11488	0	93
16445	33	-65
10872	-4	97
22484	72	-71
22174	70	-71
20432	58	47
643	-69	-57
1763	-62	-22
639	-69	-61
20276	57	46
1922	-61	-18
1917	-61	-23
12265	5	95
9702	-11	12
17319	38	34
3472	-51	-18
16128	31	-72
19029	49	39
10219	-8	64
3009	-54	-16
11700	2	-5
11646	1	96
18256	44	41
23414	78	-71
23410	78	-75
22017	69	-73
15669	28	-66
23568	79	-72
18094	43	34
17480	39	40
3469	-51	-21
3473	-51	-17
3162	-53	-18
13409	13	-1
22327	71	-73
19808	54	43
12329	6	4
15513	27	-67
14735	22	-70
12577	7	97
11239	-1	-1
23723	80	-72
12631	8	-4
17472	39	32
18409	45	39
22638	73	-72
11178	-2	93
8980	-16	65
23877	81	-73
11708	2	3
3160	-53	-20
10069	-9	69
12327	6	2
20435	58	50
9601	-12	66
948	-67	-62
23411	78	-74
15664	28	-71
11799	2	94
19816	54	51
10154	-8	-1
19965	55	45
23722	80	-73
12110	4	95
10377	-7	67
14734	22	-71
3315	-52	-20
10072	-9	72
12634	8	-1
14581	21	-69
20902	61	52
19656	53	46
10842	-4	67
9291	-14	66
20281	57	51
17320	38	35
9684	-11	-6
2537	-57	-23
15046	24	-69
18092	43	32
15358	26	-67
20585	59	45
20900	61	50
15817	29	-73
11862	3	2
2855	-55	-15
11688	2	-17
20588	59	48
9289	-14	64
22944	75	-76
18410	45	40
1412	-64	-63
1263	-65	-57
9602	-12	67
10617	-5	-3
22946	75	-74
1254	-65	-66
14896	23	-64
11712	2	7
18252	44	37
9527	-12	-8
10373	-7	63
9447	-13	67
20121	56	46
9606	-12	71
19350	51	50
3317	-52	-18
18876	48	41
13411	13	1
20122	56	47
10772	-4	-3
17474	39	34
10773	-4	-2
23564	79	-76
9998	-9	-2
1566	-63	-64
2856	-55	-14
9294	-14	69
23259	77	-71
2380	-58	-25
10873	-4	98
11695	2	-10
1881	-61	-59
20437	58	52
9753	-11	63
2538	-57	-22
12729	8	94
2850	-55	-20
10535	-6	70
174	-72	-61
18719	47	39
1415	-64	-60
16446	33	-64
1101	-66	-64
18714	47	34
23413	78	-72
9292	-14	67
12000	4	-15
19657	53	47
11493	0	98
20745	60	50
797	-68	-58
792	-68	-63
15048	24	-67
20744	60	49
10380	-7	70
22486	72	-69
18254	44	39
12323	6	-2
20431	58	46
10780	-4	5
11026	-3	96
20280	57	50
9442	-13	62
1726	-62	-59
21864	68	-71
18718	47	38
20282	57	52
23255	77	-75
11955	3	95
22479	72	-76
9446	-13	66
2186	-59	-64
2845	-55	-25
11340	-1	100
15199	25	-71
20898	61	48
17473	39	33
11334	-1	94
2185	-59	-65
10321	-7	11
483	-70	-62
16129	31	-71
18555	46	30
11798	2	93
11859	3	-1
9377	-13	-3
11998	4	-17
1256	-65	-64
17630	40	35
22172	70	-73
18093	43	33
11704	2	-1
11489	0	94
11550	1	0
22951	75	-69
11999	4	-16
14582	21	-68
3163	-53	-17
19658	53	48
19970	55	50
19813	54	48
11690	2	-15
11958	3	98
10689	-5	69
9530	-12	-5
12628	8	-7
1108	-66	-57
16292	32	-63
19025	49	35
12112	4	97
10152	-8	-3
17322	38	37
332	-71	-58
15051	24	-64
20747	60	52
11231	-1	-9
330	-71	-60
1106	-66	-59
20125	56	50
1258	-65	-62
15362	26	-63
17168	37	38
22175	70	-70
10687	-5	67
9914	-10	69
10685	-5	65
10382	-7	72
18558	46	33
15662	28	-73
12167	5	-3
944	-67	-66
790	-68	-65
15353	26	-72
19502	52	47
15826	29	-64
3625	-50	-20
22171	70	-74
15977	30	-68
15978	30	-67
16286	32	-69
11397	0	2
1262	-65	-58
9761	-11	71
17940	42	35
13719	15	-1
789	-68	-66
11689	2	-16
15510	27	-70
10536	-6	71
15207	25	-63
22792	74	-73
18249	44	34
11544	1	-6
2036	-60	-59
14889	23	-71
15351	26	-74
21056	62	51
20897	61	47
487	-70	-58
2076	-60	-19
10225	-8	70
22797	74	-68
11545	1	-5
9136	-15	66
1878	-61	-62
22018	69	-72
1612	-63	-18
799	-68	-56
17943	42	38
15359	26	-66
1104	-66	-61
19024	49	34
12159	5	-11
10688	-5	68
11846	3	-14
15820	29	-70
11953	3	93
10071	-9	71
2190	-59	-60
1725	-62	-60
22019	69	-71
15205	25	-65
22948	75	-72
2698	-56	-17
15204	25	-66
12020	4	5
1567	-63	-63
2389	-58	-16
2073	-60	-22
19352	51	52
19349	51	49
1879	-61	-61
1564	-63	-66
18567	46	42
9915	-10	70
19809	54	44
12422	6	97
23718	80	-77
9295	-14	70
21209	63	49
1260	-65	-60
10164	-8	9
19022	49	32
18559	46	34
19662	53	52
1453	-64	-22
11185	-2	100
10478	-6	13
8288	-20	-7
22950	75	-70
18563	46	38
11175	-2	90
23874	81	-76
12109	4	94
15514	27	-66
22947	75	-73
1762	-62	-23
15052	24	-63
18095	43	35
23719	80	-76
2031	-60	-64
22014	69	-76
18405	45	35
20274	57	44
17788	41	38
945	-67	-65
20899	61	49
22483	72	-72
18412	45	42
11694	2	-11
1107	-66	-58
20903	61	53
10309	-7	-1
12419	6	94
488	-70	-57
9755	-11	65
795	-68	-60
2231	-59	-19
10322	-7	12
11078	-2	-7
10316	-7	6
11847	3	-13
12494	7	14
10159	-8	4
9528	-12	-7
12482	7	2
11852	3	-8
10474	-6	9
12166	5	-4
11077	-2	-8
11085	-2	0
10317	-7	7
12011	4	-4
13410	13	0
11845	3	-15
11083	-2	-2
11086	-2	1
10469	-6	4
11393	0	-2
13408	13	-2
12310	6	-15
11396	0	1
12478	7	-2
11865	3	5
12173	5	3
10167	-8	12
12019	4	4
10620	-5	0
11693	2	-12
13563	14	-2
12021	4	6
12320	6	-5
12010	4	-5
11854	3	-6
10623	-5	3
11710	2	5
11395	0	0
11394	0	-1
10162	-8	7
10479	-6	14
10314	-7	4
11399	0	4
12325	6	0
10008	-9	8
11081	-2	-4
10476	-6	11
12022	4	7
10470	-6	5
10929	-3	-1
12186	5	16
11234	-1	-6
11698	2	-7
11857	3	-3
11692	2	-13
11709	2	4
12158	5	-12
5994	-35	24
8136	-21	-4
9985	-9	-15
10806	-4	31
9364	-13	-16
10650	-5	30
10033	-9	33
7849	-23	19
7825	-23	-5
15765	28	30
13231	12	-24
10026	-9	26
10336	-7	26
13230	12	-25
12922	10	-23
8160	-21	20
10805	-4	30
10188	-8	33
13075	11	-25
9879	-10	34
15922	29	32
9675	-11	-15
7673	-24	-2
12929	10	-16
12919	10	-26
12309	6	-16
9560	-12	25
6149	-34	24
13076	11	-24
12765	9	-25
6148	-34	23
11672	2	-33
9414	-13	34
9724	-11	34
11827	3	-33
12769	9	-21
7518	-25	-2
10174	-8	19
7824	-23	-6
12462	7	-18
11983	4	-32
11519	1	-31
9519	-12	-16
9867	-10	22
10494	-6	29
7848	-23	18
10191	-8	36
12618	8	-17
7826	-23	-4
10331	-7	21
12463	7	-17
11981	4	-34
10328	-7	18
15457	26	32
9726	-11	36
15613	27	33
7850	-23	20
12306	6	-19
12617	8	-18
9878	-10	33
12464	7	-16
9714	-11	24
12616	8	-19
10175	-8	20
9674	-11	-16
7695	-24	20
12920	10	-25
7541	-25	21
10332	-7	22
5684	-37	24
12459	7	-21
15612	27	32
9829	-10	-16
7696	-24	21
12611	8	-24
10025	-9	25
5685	-37	25
7827	-23	-3
15147	24	32
11673	2	-32
12923	10	-22
15456	26	31
9055	-15	-15
9870	-10	25
6460	-32	25
6306	-33	26
12772	9	-18
12610	8	-25
8004	-22	19
10651	-5	31
10176	-8	21
10485	-6	20
8159	-21	19
10496	-6	31
10018	-9	18
10652	-5	32
12138	5	-32
9864	-10	19
7671	-24	-4
9711	-11	21
12307	6	-18
11825	3	-35
10019	-9	19
9677	-11	-13
12764	9	-26
12613	8	-22
10189	-8	34
9871	-10	26
9518	-12	-17
12308	6	-17
13386	13	-24
12774	9	-16
12924	10	-21
7361	-26	-4
9363	-13	-17
11674	2	-31
11361	0	-34
10180	-8	25
10035	-9	35
10337	-7	27
9415	-13	35
10034	-9	34
15610	27	30
10807	-4	32
13384	13	-26
10020	-9	20
10022	-9	22
10036	-9	36
12304	6	-21
12615	8	-20
12925	10	-20
8158	-21	18
10190	-8	35
12766	9	-24
7362	-26	-3
9569	-12	34
15767	28	32
10334	-7	24
5995	-35	25
7694	-24	19
12153	5	-17
6147	-34	22
7980	-22	-5
13229	12	-26
15303	25	33
10178	-8	23
10640	-5	20
10340	-7	30
15458	26	33
9570	-12	35
9880	-10	35
10024	-9	24
7669	-24	-6
9210	-14	-15
12609	8	-26
9676	-11	-14
7516	-25	-4
12770	9	-20
9872	-10	27
9831	-10	-14
11362	0	-33
10649	-5	29
10961	-3	31
13074	11	-26
10027	-9	27
10341	-7	31
13081	11	-19
12614	8	-21
10960	-3	30
11671	2	-34
12460	7	-20
11517	1	-33
11982	4	-33
12927	10	-18
10179	-8	24
11516	1	-34
6151	-34	26
7981	-22	-4
7983	-22	-2
10187	-8	32
7517	-25	-3
7540	-25	20
13232	12	-23
10182	-8	27
13228	12	-27
5996	-35	26
5840	-36	25
6305	-33	25
11826	3	-34
10497	-6	32
13077	11	-23
15766	28	31
12619	8	-16
10484	-6	19
7539	-25	19
7692	-24	17
10345	-7	35
15614	27	34
7982	-22	-3
7672	-24	-3
12775	9	-15
6304	-33	24
15768	28	33
12921	10	-24
9673	-11	-17
13387	13	-23
9710	-11	20
13073	11	-27
6150	-34	25
7828	-23	-2
15611	27	31
11670	2	-35
10173	-8	18
13385	13	-25
10486	-6	21
9827	-10	-18
11518	1	-32
12305	6	-20
7670	-24	-5
12465	7	-15
13540	14	-25
9865	-10	20
11360	0	-35
8002	-22	17
6459	-32	24
9725	-11	35
8314	-20	19
9672	-11	-18
9520	-12	-15
6302	-33	22
12771	9	-19
15301	25	31
16076	30	31
5839	-36	24
8315	-20	20
12928	10	-17
10335	-7	25
15923	29	33
12773	9	-17
10962	-3	32
8291	-20	-4
12620	8	-15
9365	-13	-15
10330	-7	20
15304	25	34
9828	-10	-17
10021	-9	21
10037	-9	37
9866	-10	21
10495	-6	30
10181	-8	26
11828	3	-32
9868	-10	23
8137	-21	-3
9413	-13	33
9723	-11	33
10185	-8	30
9571	-12	36
12767	9	-23
7979	-22	-6
10177	-8	22
7829	-23	-1
15146	24	31
5841	-36	26
12461	7	-19
15459	26	34
16077	30	32
10342	-7	32
10959	-3	29
6458	-32	23
9984	-9	-16
9716	-11	26
15609	27	29
15302	25	32
15300	25	30
11391	0	-4
9568	-12	33
12458	7	-22
8161	-21	21
9208	-14	-17
11829	3	-31
7851	-23	21
8005	-22	20
9521	-12	-14
10498	-6	33
8003	-22	18
9209	-14	-16
12137	5	-33
12768	9	-22
12918	10	-27
7693	-24	18
7674	-24	-1
9881	-10	36
9869	-10	24
10329	-7	19
15921	29	31
10653	-5	33
5992	-35	22
10804	-4	29
12926	10	-19
5837	-36	22
12154	5	-16
5683	-37	23
11116	-2	31
10339	-7	29
9416	-13	36
7847	-23	17
8006	-22	21
13383	13	-27
7538	-25	18
11984	4	-31
5838	-36	23
9715	-11	25
7384	-26	19
11364	0	-31
13541	14	-24
9709	-11	19
6303	-33	23
9882	-10	37
9366	-13	-14
9830	-10	-15
9517	-12	-18
11537	1	-13
10493	-6	28
7537	-25	17
5993	-35	23
13079	11	-21
11207	-1	-33
11515	1	-35
10490	-6	25
11363	0	-32
12151	5	-19
11115	-2	30
9986	-9	-14
9863	-10	18
11540	1	-10
12763	9	-27
8135	-21	-5
8313	-20	18
9367	-13	-13
12136	5	-34
9712	-11	22
10491	-6	26
13233	12	-22
7515	-25	-5
9211	-14	-14
10186	-8	31
325	-71	-65
16137	31	-63
11206	-1	-34
14894	23	-66
2692	-56	-23
10068	-9	68
20436	58	51
23875	81	-75
22324	71	-76
19180	50	35
12107	4	92
16596	34	-69
23101	76	-74
20741	60	46
15980	30	-65
8984	-16	69
19195	50	50
22170	70	-75
8981	-16	66
22632	73	-78
16136	31	-64
16440	33	-70
15827	29	-63
11951	3	91
18401	45	31
9752	-11	62
15203	25	-67
11487	0	92
17785	41	35
10344	-7	34
23254	77	-76
19659	53	49
15354	26	-71
22012	69	-78
16287	32	-68
15148	24	33
9917	-10	72
14580	21	-70
17944	42	39
17631	40	36
793	-68	-62
18248	44	33
18711	47	31
23567	79	-73
12111	4	96
17478	39	38
22323	71	-77
481	-70	-64
23106	76	-69
9140	-15	70
12152	5	-18
11023	-3	93
11176	-2	91
2032	-60	-63
22322	71	-78
22485	72	-70
17789	41	39
11950	3	90
952	-67	-58
8826	-17	66
175	-72	-60
15975	30	-70
10648	-5	28
10841	-4	66
16289	32	-66
19818	54	53
23105	76	-70
15824	29	-66
2696	-56	-19
15043	24	-72
18716	47	36
17479	39	39
1923	-61	-17
14738	22	-67
10183	-8	28
11650	1	100
10226	-8	71
12421	6	96
2851	-55	-19
3312	-52	-23
1770	-62	-15
3474	-51	-16
10374	-7	64
19508	52	53
19338	51	38
23256	77	-74
19974	55	54
9445	-13	65
796	-68	-59
19506	52	51
22787	74	-78
14897	23	-63
23409	78	-76
19664	53	54
12930	10	-15
1919	-61	-21
10840	-4	65
18246	44	31
949	-67	-61
11957	3	97
21857	68	-78
10222	-8	67
10224	-8	69
22636	73	-74
3001	-54	-24
10333	-7	23
15200	25	-70
328	-71	-62
11025	-3	95
2188	-59	-62
15361	26	-64
12884	9	94
23104	76	-71
10487	-6	22
9596	-12	61
1609	-63	-21
17936	42	31
10808	-4	33
3319	-52	-16
15045	24	-70
22633	73	-77
21053	62	48
12150	5	-20
14584	21	-66
12416	6	91
12883	9	93
19811	54	46
8827	-17	67
20593	59	53
326	-71	-64
15671	28	-64
20746	60	51
1418	-64	-57
2699	-56	-16
12730	8	95
1569	-63	-61
19193	50	48
19501	52	46
19194	50	49
18869	48	34
640	-69	-60
485	-70	-60
15979	30	-66
17946	42	41
12731	8	96
19182	50	37
17787	41	37
2033	-60	-62
12733	8	98
2701	-56	-14
15818	29	-72
18870	48	35
1925	-61	-15
1916	-61	-24
20119	56	44
10346	-7	36
2072	-60	-23
19810	54	45
15047	24	-68
23562	79	-78
947	-67	-63
12576	7	96
18098	43	38
12263	5	93
18875	48	40
15042	24	-73
15769	28	34
1410	-64	-65
22793	74	-72
19660	53	50
10843	-4	68
9983	-9	-17
17786	41	36
10684	-5	64
23720	80	-75
22952	75	-68
22480	72	-75
15508	27	-72
19348	51	48
22325	71	-75
10715	-5	95
173	-72	-62
18872	48	37
22942	75	-78
22015	69	-75
22168	70	-77
17633	40	38
15663	28	-72
9444	-13	64
15197	25	-73
3159	-53	-21
3003	-54	-22
9293	-14	68
2038	-60	-57
23261	77	-69
482	-70	-63
20127	56	52
17318	38	33
10686	-5	66
10871	-4	96
11804	2	99
10023	-9	23
3311	-52	-24
19337	51	37
14888	23	-72
20429	58	44
17165	37	35
1728	-62	-57
17476	39	36
15828	29	-62
14736	22	-69
172	-72	-63
11336	-1	96
9288	-14	63
20586	59	46
9722	-11	32
9522	-12	-13
9877	-10	32
12612	8	-23
7363	-26	-2
13078	11	-22
10184	-8	29
10489	-6	24
10803	-4	28
15924	29	34
12303	6	-22
12149	5	-21
13080	11	-20
9717	-11	27
15455	26	30
7984	-22	-1
11980	4	-35
9567	-12	32
10483	-6	18
10963	-3	33
10028	-9	28
10032	-9	32
8157	-21	17
9362	-13	-18
10492	-6	27
8138	-21	-2
16078	30	33
13539	14	-26
6461	-32	26
5686	-37	26
3165	-53	-15
19023	49	33
17475	39	35
171	-72	-64
19028	49	38
14583	21	-67
22482	72	-73
11338	-1	98
11177	-2	92
10227	-8	72
16288	32	-67
12264	5	94
19027	49	37
9451	-13	71
12271	5	101
2191	-59	-59
16290	32	-65
11485	0	90
10064	-9	64
18715	47	35
19184	50	39
22330	71	-70
15825	29	-65
2391	-58	-14
15819	29	-71
1768	-62	-17
10869	-4	94
10066	-9	66
23253	77	-77
9910	-10	65
21054	62	49
10073	-9	73
9453	-13	73
10844	-4	69
1719	-62	-66
11332	-1	92
20584	59	44
10381	-7	71
3155	-53	-25
3318	-52	-17
9290	-14	65
14891	23	-69
2080	-60	-15
15515	27	-65
11639	1	89
16439	33	-71
19503	52	48
23258	77	-72
22634	73	-76
1257	-65	-63
3314	-52	-21
22794	74	-71
1455	-64	-20
12573	7	93
19039	49	49
10534	-6	69
20740	60	45
1253	-65	-67
634	-69	-66
2534	-57	-26
17790	41	40
19179	50	34
11335	-1	95
11803	2	98
10063	-9	63
3008	-54	-17
2847	-55	-23
2070	-60	-25
15672	28	-63
20439	58	54
1109	-66	-56
16133	31	-67
17627	40	32
21862	68	-73
2229	-59	-21
11330	-1	90
22326	71	-74
17323	38	38
16444	33	-66
22329	71	-71
19654	53	44
21057	62	52
12115	4	100
12266	5	96
9449	-13	69
1571	-63	-59
1264	-65	-56
18257	44	42
2225	-59	-25
479	-70	-66
484	-70	-61
19663	53	53
16597	34	-68
12261	5	91
20129	56	54
2383	-58	-22
9763	-11	73
23095	76	-80
18712	47	32
12887	9	97
17166	37	36
11648	1	98
1876	-61	-64
3467	-51	-23
11495	0	100
638	-69	-62
22943	75	-77
11180	-2	95
3623	-50	-22
2535	-57	-25
11642	1	92
19178	50	33
18090	43	30
10061	-9	61
3627	-50	-18
22173	70	-72
14741	22	-64
18868	48	33
11640	1	90
21858	68	-77
17791	41	41
2390	-58	-15
20438	58	53
3156	-53	-24
8828	-17	68
19190	50	45
176	-72	-59
1874	-61	-66
18721	47	41
10868	-4	93
10530	-6	65
16135	31	-65
19336	51	36
15665	28	-70
2546	-57	-14
9135	-15	65
11486	0	91
15044	24	-71
11337	-1	97
12106	4	91
19026	49	36
22321	71	-79
20748	60	53
486	-70	-59
1877	-61	-63
18247	44	32
10998	-3	68
19971	55	51
11649	1	99
11959	3	99
8985	-16	70
22640	73	-70
946	-67	-64
22641	73	-69
12268	5	98
20284	57	54
12728	8	93
17635	40	40
23561	79	-79
1875	-61	-65
21050	62	45
19817	54	52
11024	-3	94
11806	2	101
17947	42	42
1573	-63	-57
19351	51	51
798	-68	-57
20896	61	46
2381	-58	-24
20895	61	45
10218	-8	63
11021	-3	91
15201	25	-69
11022	-3	92
10690	-5	70
1570	-63	-60
19030	49	40
22940	75	-80
1722	-62	-63
12424	6	99
9297	-14	72
12425	6	100
19504	52	49
21705	67	-75
11961	3	101
19183	50	38
3158	-53	-22
19500	52	45
1098	-66	-67
10372	-7	62
953	-67	-57
10716	-5	96
10379	-7	69
15972	30	-73
23563	79	-77
14893	23	-67
2078	-60	-17
12269	5	99
17169	37	39
20742	60	47
9450	-13	70
2544	-57	-16
19346	51	46
17324	38	39
2379	-58	-26
8829	-17	69
16594	34	-71
9762	-11	72
1924	-61	-16
18255	44	40
23406	78	-79
19661	53	51
1761	-62	-24
1456	-64	-19
8986	-16	71
11494	0	99
642	-69	-58
18245	44	30
9918	-10	73
19345	51	45
1767	-62	-18
9141	-15	71
2037	-60	-58
9138	-15	68
17935	42	30
2034	-60	-61
16131	31	-69
14890	23	-70
12571	7	91
791	-68	-64
3468	-51	-22
1721	-62	-64
3010	-54	-15
11796	2	91
3626	-50	-19
15973	30	-72
2700	-56	-15
23251	77	-79
17781	41	31
2079	-60	-16
19	-73	-61
12885	9	95
22477	72	-78
635	-69	-65
12423	6	98
9132	-15	62
10839	-4	64
2035	-60	-60
12270	5	100
18100	43	40
20739	60	44
15202	25	-68
23252	77	-78
21211	63	51
9607	-12	72
23565	79	-75
10531	-6	66
9452	-13	72
9142	-15	72
3470	-51	-20
331	-71	-59
22788	74	-77
3002	-54	-23
17321	38	36
12104	4	89
18557	46	32
15208	25	-62
14585	21	-65
